Player,Offense,Defense,GP,Name,Squad,Viable
"Jak Frey",0,1,116598,DRMalak,"zzDR HK-47 zBSF zzMalak Sith Empire Trooper",1
"Jak Frey",0,1,95293,Grievous,"zGG zB2 zB1 zDroideka Dooku",1
"Jak Frey",1,1,94316,Revan,"zzzJKR BS GMY zJolee GK G8",1
"Jak Frey",1,1,86393,Ewoks,"zChirpa Elder Paploo Wicket Logray",1
"Jak Frey",1,1,84242,Carth,"Carth Onasi, Mission zZaalbar Juhani G8, Canderous",1
"Jak Frey",0,1,91804,BH,"zBossk Cad Greef Boba Jango",1
"Jak Frey",0,1,67680,Phoenix,"Hera G8, Chopper G9, Zeb G8, Kanan G8, Ezra",1
"Jak Frey",1,0,101612,CLS,"zCLS zHan Chewbacca C-3PO Chewpio",0
"Jak Frey",0,1,96766,Geonosians Omicron,"zzGBA Sun Fac, Geo Soldier, Geo Spy, Poggle",0
"Jak Frey",1,0,69293,Troopers,"Veers Starck G9, Gideon G9, Range Trooper G9, Piett",0
"Citizen Juicer",1,0,131296,CLS,"zzzCLS zHan zzChewbacca zC-3PO zChewpio",1
"Citizen Juicer",0,1,107366,DRMalak,"zzzDR zHK-47 BSF zzMalak Sith Empire Trooper",1
"Citizen Juicer",0,1,114155,padme,"zzPadme zGK zJKA zAhsoka CW Chewbacca G8",1
"Citizen Juicer",0,1,90659,Geonosians Omicron,"zGBA Sun Fac, Geo Soldier, Geo Spy, Poggle",1
"Citizen Juicer",1,1,95878,NS_Alt,"zzMT zAV zDaka Talia Zombie",1
"Citizen Juicer",,,395679,HansMF,"Home One, Han's MF, HT Ghost Phantom Biggs X-wing, Cassian's U-wing, Wedge X-wing",1
"Citizen Juicer",1,0,109374,Traya,"zzTraya DN zSion zEP zzThrawn",1
"Citizen Juicer",1,1,110816,JTR,"zzzJTR Scav Rey, zzBB-8 zzR2-D2 Finn",1
"Citizen Juicer",1,1,126310,Revan Offense,"zzzJKR zGMY BS zJolee zHYoda",1
"Citizen Juicer",1,1,89837,Ewoks,"zChirpa Elder zPaploo zWicket Logray",1
"Citizen Juicer",0,1,96770,BH,"zBossk Cad Dengar Boba Greedo",1
