Player,Offense,Defense,GP,Name,Squad,Viable
"Q92",0,1,121335,padme,"zzPadme zGK zJKA zAhsoka zC-3PO",1
"Q92",0,1,127064,DRMalak,"zzzDR HK-47 zBSF zzMalak Sith Marauder",1
"Q92",,,405895,Negotiator,"Negotiator HT Anakin's Eta-2, Umbaran SF, Ahsoka's SF, BTL-B Y-wing, Clone Sergeant's ARC-170, Plo's SF",1
"Q92",,,304109,Malevolence,"Malevolence Hyena Bomber, Vulture Droid, Sun Fac SF, Soldier SF, Spy SF",1
"Q92",0,1,92649,Geonosians,"zzGBA Sun Fac, Geo Soldier, Geo Spy, Poggle",1
"Q92",0,1,129232,Grievous-Wat,"zzGG zB2 zB1 MagnaGuard zWat Tambor",1
"Q92",1,0,102883,Troopers,"zVeers zPiett zGideon Dark Trooper, Range Trooper",1
"Q92",1,1,106695,GAS,"zzzzGAS zRex Echo (501st), zFives zARC Trooper",1
"Q92",1,1,119910,Revan Offense,"zzzJKR zGMY BS zJolee zHYoda G9",1
"Q92",1,1,80926,Ewoks,"zChirpa Elder Paploo Wicket Logray",1
"Q92",0,1,123207,BH,"zzBossk Dengar Cad Jango Boba",1
"Q92",1,1,90818,Carth,"Carth Onasi, zMission Zaalbar Juhani G8, Canderous",1
"Q92",0,1,71770,Phoenix,"Hera G8, Ezra Kanan G8, Zeb G8, Chopper G9",1
"Q92",1,0,90671,EP (Counter, Rebel),"EP Shoretrooper G8, DT zWampa zNest",1
"Q92",1,0,14917,SionSolo (Counter),"Sion G9",1
"Q92",,,60150,Phasma,"Phasma G1, FOE G7, Sith Trooper G8, KRU G8, Kylo G8",0
"Q92",1,0,105498,CLS,"zzCLS zHan zChewbacca R2-D2 G8, Chewpio",0
"Q92",,,290125,HansMF,"Home One, Han's MF, Rebel Y-wing, Bistan's U-wing, Phantom Ghost Cassian's U-wing, Biggs X-wing",0
"Q92",1,1,75962,NS,"MT AV zDaka Zombie Spirit G2",0
"Q92",,,275661,Executrix,"Executrix Tie Adv, Emperor's Shuttle 6*, TIE Reaper 4*, Imperial TIE Fighter, Gauntlet Starfighter, FOSF TIE Fighter, FO TIE Fighter",0
"Q92",,,63819,Mon Mothma,"Mon Mothma G8, Biggs G8, Wedge G8, Cara Dune G9, Chirrut G7",0
"Pommy",,,168356,JMK,"zzzzzzJMK zAhsoka zzzCAT zzzzGAS zGK",1
"Pommy",1,1,101704,NS,"zzMT zzAV zDaka Zombie Spirit",1
"Pommy",,,568302,Executor,"Executor 5* HT RC Xanadu Blood, Slave I, IG-2000 Imperial TIE Fighter, Tie Adv",1
"Pommy",0,1,127616,DRMalak,"zzzDR zHK-47 zBSF zzMalak Sith Empire Trooper",1
"Pommy",1,0,131439,CLS,"zzzCLS zHan zzChewbacca zC-3PO zChewpio",1
"Pommy",,,505586,Negotiator,"Negotiator BTL-B Y-wing, Anakin's Eta-2, Rex's ARC-170, Umbaran SF, Ahsoka's SF, Plo's SF, Clone Sergeant's ARC-170",1
"Pommy",,,308348,Malevolence,"Malevolence Hyena Bomber, Vulture Droid, Sun Fac SF, Soldier SF, Spy SF",1
"Pommy",,,409519,HansMF,"Home One, Han's MF, Rebel Y-wing, Ghost Phantom Biggs X-wing, Cassian's U-wing, Wedge X-wing",1
"Pommy",0,1,90820,Geonosians,"zGBA Sun Fac, Geo Soldier, Geo Spy, Poggle",1
"Pommy",0,1,120772,Grievous,"zzGG zB2 zB1 MagnaGuard zNute",1
"Pommy",1,0,103686,Traya,"zzTraya DN zSion zzEP zThrawn",1
"Pommy",1,1,100298,JTR,"zzJTR Scav Rey, zBB-8 zzR2-D2 Finn",1
"Pommy",,,120194,Disintegration,"zAurra zGreef Boba zzBossk zThe Mandalorian",1
"Pommy",1,1,133655,Revan Offense,"zzzJKR zGMY zHYoda zJolee zJKA",1
"Pommy",1,1,76975,Ewoks,"zChirpa G9, Elder Paploo G9, Wicket Logray G9",1
"Pommy",1,0,142520,ShaakClones,"zzShaak Ti, zRex zEcho (501st), zzFives zARC Trooper",1
"Pommy",1,1,89839,Carth,"zCarth Onasi, zMission zZaalbar Juhani Canderous",1
"Pommy",1,0,114962,Troopers,"zVeers zStarck zzPiett DT zDark Trooper",1
"Pommy",0,1,82181,FO,"zzKRU Kylo G9, FOE FOST G8, FOO",1
"Pommy",0,1,76095,Phoenix,"Hera Ezra Kanan G8, Sabine Zeb",1
"Pommy",1,0,19893,NestSolo (Counter),"zNest",1
"Pommy",,,91247,Mon Mothma,"zzMon Mothma G9, Biggs Lando Hoth Rebel Scout, Wedge",0
"Pommy",0,1,126274,BH,"zJango Dengar Cad zIG-88 zZam",0
"Bearzerker",,,133823,SK,"zzEP zzMara Jade, The Emperor's Hand, zzStarkiller Juhani Visas",1
"Bearzerker",,,173163,SEE,"zzzzzzSEE zBSF zzMalak zzzDR zzzVader",1
"Bearzerker",,,595031,Executor,"Executor HT RC Xanadu Blood, Slave I, IG-2000 Imperial TIE Fighter, Tie Adv",1
"Bearzerker",0,1,134963,padme,"zzPadme zGK JKA zAhsoka zzzCAT",1
"Bearzerker",,,176745,JMLS,"zzzJKR zzJKL zzzzzzJMLS zzHYoda zzzzGAS",1
"Bearzerker",1,0,139744,CLS,"zzzCLS zHan zChewbacca zC-3PO zChewpio",1
"Bearzerker",,,307139,Malevolence,"Malevolence Hyena Bomber, Vulture Droid, Sun Fac SF, Soldier SF, Spy SF",1
"Bearzerker",,,379567,HansMF,"Home One, Han's MF, Rebel Y-wing, Bistan's U-wing, Phantom Biggs X-wing, Cassian's U-wing, Wedge X-wing",1
"Bearzerker",0,1,90433,Geonosians,"zGBA Sun Fac, Geo Soldier, Geo Spy, Poggle",1
