Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,Team
Rowdee Ricch,267161379,34,0,34,CLS: CLS G12 C-3PO G12 Han G12 Chewbacca G12 Chewpio G8
Djsenior,463522689,7,0,7,CLS: CLS C-3PO Han Chewbacca Chewpio G11 5*
Grogu,982889748,32,1,31,EP: EP G12 Mara Jade, The Emperor's Hand G10 4* Vader Thrawn G12 RG G7
Grogu,982889748,36,0,36,Padme/BB: Padme Hunter G9 5* Echo G9 5* Tech G10 5* Wrecker G8 5*
Grogu,982889748,35,0,35,CLS: CLS R3 C-3PO G9 6* Han G12 Chewbacca G10 Chewpio G8 4*
Nick Steele,279647222,35,2,33,CLS: CLS G12 C-3PO R1 Han G10 Chewbacca G10 Chewpio G11
Nick Steele,279647222,42,0,42,EP: EP G9 Mara Jade, The Emperor's Hand G9 Vader G9 Thrawn G9 Malak G12
DarthKrillin,143828918,23,10,13,EP: EP R4 Mara Jade, The Emperor's Hand G12 Vader Thrawn R1 Malak R3
凯 天行者,198397314,34,5,29,CLS: CLS R3 C-3PO R3 Han G10 Chewbacca G12 Chewpio G7
jackityjack,314548759,36,0,36,EP: EP G12 Mara Jade, The Emperor's Hand G9 2* Vader R4 Thrawn G7 5* Shoretrooper G9 5*
Jordan Halaren,474449928,17,17,0,CLS: CLS C-3PO Han Chewbacca Chewpio
Jordan Halaren,474449928,2,0,2,JMLS: JMLS JKL JKR R3 GMY HYoda
BUSTYOAZZ99,215377213,25,3,22,CLS: CLS C-3PO Han G12 Chewbacca G12 Chewpio G8 5*
Animus313,848892482,21,1,20,EP: EP R2 Mara Jade, The Emperor's Hand R2 Vader Thrawn G7 RG R2
RBS,572837322,30,6,24,EP: EP R2 Mara Jade, The Emperor's Hand Vader R3 Thrawn G9 RG G8
RBS,572837322,37,3,34,CLS: CLS R3 C-3PO R1 Han G8 Chewbacca G10 Chewpio G8
Terdz 2,772418442,27,3,24,EP: EP G12 Mara Jade, The Emperor's Hand G12 Vader Thrawn R3 Malak G8 5*
SharpChaos,947247942,22,0,22,CLS: CLS R3 C-3PO R3 Han G12 Chewbacca R3 Chewpio G8 6*
Chris Anderson 05051982,165559824,24,7,17,EP: EP Mara Jade, The Emperor's Hand Vader Thrawn G12 RG G7
Gomer332,964343273,13,3,10,EP: EP Mara Jade, The Emperor's Hand G11 Vader Thrawn R4 RG R3
Schmidt Happens,241187192,37,8,29,EP: EP R2 Mara Jade, The Emperor's Hand G11 Vader G12 Thrawn G11 Malak G12
ridingred,273374852,35,13,22,EP: EP Mara Jade, The Emperor's Hand G6 4* Vader Thrawn G8 Malak
asguardian,771325987,21,0,21,EP: EP R4 Mara Jade, The Emperor's Hand Vader Thrawn G8 6* Malak G8 6*
MINI Eastgamer11,787729542,26,0,26,EP: EP Mara Jade, The Emperor's Hand G11 3* Vader Thrawn G9 5* RG G8
MINI Eastgamer11,787729542,29,0,29,Troopers: Veers G11 Piett Dark Trooper G11 Range Trooper G12 Gideon G9
Gorkken,883535461,35,5,30,EP: EP R2 Mara Jade, The Emperor's Hand G12 Vader Thrawn G8 RG G7
Nema Ghyron,226226244,23,14,9,EP: EP R3 Mara Jade, The Emperor's Hand R3 Vader Thrawn R1 Malak R4
Nema Ghyron,226226244,43,0,43,Troopers: Veers G10 Piett G8 6* Dark Trooper G7 6* Range Trooper G11 5* Gideon G11
KyTheGuy,694385733,42,6,36,CLS: CLS G12 C-3PO G12 Han G12 Chewbacca G10 6* Chewpio G8 6*
Puke Clodhopper,138652831,0,0,0,CLS: CLS C-3PO Han Chewbacca Chewpio
Puke Clodhopper,138652831,6,0,6,JMLS: JMLS JKL JKR GMY G12 HYoda
Puke Clodhopper,138652831,19,0,19,EP: EP G12 Mara Jade, The Emperor's Hand G11 Vader Thrawn G12 Malak
Archator,973722152,12,0,12,EP: EP Mara Jade, The Emperor's Hand G8 3* Vader Thrawn RG R3
Latch,277395581,31,3,28,EP: EP Mara Jade, The Emperor's Hand G9 4* Vader Thrawn G9 RG G8
Latch,277395581,41,1,40,CLS: CLS C-3PO G8 6* Han G11 Chewbacca G8 Chewpio G5
HDS15,857258731,24,0,24,EP: EP Mara Jade, The Emperor's Hand G7 4* Vader Thrawn G12 RG G11
HDS15,857258731,50,1,49,Padme/BB: Padme G13 Hunter G7 4* Echo G7 3* Tech G8 4* Wrecker G6 4*
Styckeey Battle,663976847,27,1,26,EP: EP Mara Jade, The Emperor's Hand G9 5* Vader Thrawn G7 Malak G12
Styckeey Battle,663976847,47,1,46,CLS: CLS G8 C-3PO G10 Han G9 Chewbacca G9 Chewpio G8 4*
Whale,872143324,0,0,0,CLS: CLS C-3PO Han Chewbacca Chewpio
Whale,872143324,44,3,41,EP: EP Mara Jade, The Emperor's Hand G5 6* Vader Thrawn G7 Shoretrooper G1
Mikki and her Ry Ry,846428398,30,7,23,EP: EP G11 Mara Jade, The Emperor's Hand Vader R2 Thrawn G7 6* Malak R3
Tyundi,697663926,30,0,30,CLS: CLS G12 C-3PO G12 Han G12 Chewbacca G12 Chewpio G12
Tyundi,697663926,38,2,36,EP: EP G12 Mara Jade, The Emperor's Hand G12 Vader G12 Thrawn G12 RG G6
Ronju Terds,464722161,6,0,6,CLS: CLS C-3PO Han Chewbacca Chewpio G12
