Name,Ally Code,GP,Chars GP,Ships GP,Character:Ships,Light side or Dark Side,Hotutils style mod score -- higher is better, aim for 3.0.   ((# of 15-19 Speed 0.8) + (# of 20-24 Speed) + (# of 25+ Speed * 1.6)) / (squadGP / 100,000),DSR Bot style gear score -- higher is better.  Number of (>G12 + G13 + relic / 5) / total gp / 100 000.,LS Toon GP,DS Toon GP,Zetas,Omicrons,Relic Levels,GLs,7*,R5 and higher,G13 and higher,G12 and higher,G10 and higher,Jedi Knight Revan,Darth Revan,Malak,Padme,Genosian Brood Alpha,Wat Tambor,Ki-Adi-Mundi,Shaak Ti,General Skywalker,Rey,Supreme Leader Kylo Ren,Sith Eternal Emperor,Jedi Master Luke Skywalker,Jedi Master Kenobi,Lord Vader,Jabba the Hutt,Jedi Knight Luke,The Negotiator,Malevolence,Raddus,Finalizer,TW/GA Squads - farmed but may need gear.  Click player name to view.,Squads: defense or both,Squads: offense or both
"TheLoneWanderer84",749817979,1358589,885836,472753,187,304,18,142,543478,342358,6,0,7,0,36,1,2,16,31,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2
"Relaysbtww",134245445,1345496,855395,490101,174,150,65,44,492035,363360,10,0,0,0,37,0,0,6,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ghosty",595763532,739318,516982,222336,232,-279,0,13,241735,274571,2,0,0,0,21,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Berosin",281831893,1137075,629963,507112,124,147,0,43,361463,267824,4,0,0,0,48,0,0,5,13,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1
"Zac",291513384,726475,515284,211191,243,-221,31,0,245087,263546,0,0,0,0,22,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"BobOfDeath",917664227,1000131,582989,417142,139,-111,30,49,289395,279011,2,0,0,0,28,0,0,5,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Aaron",329331261,1747056,1115833,631223,176,206,30,185,657263,458570,11,1,17,0,52,1,6,23,30,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"DaishoEFX",363918329,1028269,685611,342658,200,356,14,58,429106,255818,2,0,0,0,40,0,0,6,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"Shula Taka",185498168,708767,390209,318558,122,-178,20,98,192396,197813,2,0,0,0,29,0,0,7,14,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"Force User",974974266,1104494,671704,432790,155,150,47,90,384733,284076,1,0,0,0,32,0,0,10,13,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"Arne",578335228,1401282,963709,437573,220,-234,16,135,459517,499517,6,0,5,0,38,0,2,16,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
"OUR REPUBLIC",171143328,919811,685586,234225,292,103,46,54,386224,299362,7,0,0,0,34,0,0,5,25,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sting",641185348,1314672,845229,469443,180,-61,21,60,441622,403607,1,1,0,0,54,0,0,8,26,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TesTer",968426252,501926,270159,231767,116,-757,59,0,94372,175787,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
