Player,Offense,Defense,GP,Name,Squad,Viable
"Waiter",,,116904,Phasma,"zPhasma zFOTP zSith Trooper, zzKRU zKylo",1
"Waiter",0,1,96379,Qira,"Qira L3-37 zVandor Chewbacca, zMission zZaalbar",1
"Waiter",0,1,133371,DRMalak,"zzzDR zzHK-47 zBSF zzMalak Sith Empire Trooper",1
"Waiter",1,0,139882,CLS,"zzzCLS zHan zzChewbacca zzC-3PO zChewpio",1
"Waiter",0,1,119045,padme,"zzPadme zGK zJKA zAhsoka CW Chewbacca",1
"Waiter",1,1,106211,NS_Alt,"zzMT zzAV zDaka Zombie Talia",1
"Waiter",,,456015,HansMF,"Home One, Han's MF, Rebel Y-wing, Bistan's U-wing, Phantom Ghost Cassian's U-wing, Wedge X-wing",1
"Waiter",0,1,105993,Geonosians,"zzGBA Sun Fac, Geo Soldier, Geo Spy, Poggle",1
"Waiter",1,1,103279,JTR,"zzzJTR zzR2-D2 BB-8 RH Finn G9, RH Poe",1
"Waiter",0,1,125823,Grievous,"zzGG zB2 zB1 zDroideka zMagnaGuard",1
"Waiter",,,89022,Mon Mothma,"zzMon Mothma, Cara Dune, Hoth Rebel Scout, Scarif Chirrut",1
"Waiter",1,0,107792,Troopers,"zVeers zzPiett zzGideon zDark Trooper, Range Trooper",1
"Waiter",,,112645,Disintegration,"Aurra Greef zBoba zzBossk The Mandalorian",1
"Waiter",1,1,131711,GAS,"zzzzGAS zRex zEcho (501st), zzFives zARC Trooper",1
"Waiter",1,1,127535,Revan Offense,"zzzJKR zzGMY BS zJolee zzHYoda",1
"Waiter",1,1,136727,zEP,"zzEP zzzVader zzTarkin TFP zzMara Jade, The Emperor's Hand",1
"Waiter",0,1,121267,BH,"zzJango zZam Cad zDengar zGreedo",1
"Waiter",0,1,96042,Phoenix,"zHera zZeb Sabine zKanan zEzra",1
"Waiter",1,0,93182,Thragma (Counter),"zzThrawn Magma G9, DT Krennic Shoretrooper",1
"Waiter",1,0,84097,Jawas,"Nebit Jawa Engineer, Jawa Scavenger, Jawa Dathcha",1
"Waiter",1,0,16728,NestSolo (Counter),"Nest",1
"Waiter",1,0,16660,SionSolo (Counter),"Sion",1
"Waiter",,,89591,Admiral Raddus,"Admiral Raddus 6* G8, zCassian zzJyn K-2SO Bistan",0
"Waiter",,,474644,Executrix,"Executrix Tie Adv, Emperor's Shuttle, TIE Reaper 6*, Imperial TIE Fighter, Gauntlet Starfighter, FOSF TIE Fighter, FO TIE Fighter",0
"Waiter",1,1,99753,Ewoks,"Chirpa Elder zPaploo zWicket Logray",0
"Waiter",1,0,95795,zMaul,"Darth Maul, zDooku Sith Assassin, zSavage Sith Marauder",0
"Waiter",,,70663,Bad Batch,"Hunter G9, Echo G8, Omega G8, Tech G8, Wrecker G8",0
"JD",,,123264,Phasma,"zPhasma zFOTP FOSFTP zFOST zKylo",1
"JD",1,1,155787,SL Kylo,"zzzzzzSL Kylo, zSith Trooper, zHux zzKRU zThrawn",1
"JD",,,165313,SEE,"zzzzzzSEE zBSF zzMalak zzzDR zzzVader",1
"JD",0,1,135399,padme,"zzPadme zGK zJKA zAhsoka zzC-3PO",1
"JD",1,1,131711,JTR,"zzzJTR R2-D2 zzBB-8 zRH Finn, zRH Poe",1
"JD",0,1,97717,Geonosians,"zzGBA Sun Fac, Geo Soldier, Geo Spy, Poggle",1
"JD",,,320245,HansMF,"Home One, Han's MF, HT Ghost Phantom Biggs X-wing, Cassian's U-wing, Wedge X-wing",1
"JD",1,1,144211,GAS,"zzzzGAS zRex zEcho (501st), zzFives zARC Trooper",1
"JD",1,1,123529,Revan Offense,"zzzJKR zGMY zBS zJolee zzHYoda",1
"JD",1,1,88603,Ewoks,"zChirpa Elder Paploo Wicket zLogray",1
"JD",0,1,106330,BH,"zzBossk zzJango zBoba Cad Dengar G8",1
"JD",1,1,95845,Carth,"Carth Onasi, zMission zZaalbar zJuhani zCanderous",1
"JD",0,1,79581,Phoenix,"zHera G8, Zeb Kanan G8, zEzra Chopper",1
"JD",,,127398,Bad Batch,"zHunter zEcho zzOmega zTech zWrecker",1
"JD",1,0,120251,EP (Counter, Rebel),"zzEP Shoretrooper Krennic zzWampa zStarck",1
"JD",0,1,97989,Grievous,"GG G8, zB2 zB1 zMagnaGuard Nute G8",0
"JD",1,1,76873,NS,"MT G8, zzAV Daka G9, Zombie G9, Spirit G6",0
"JD",1,0,88390,Traya,"zTraya DN G7, Sion G7, zDooku Sith Empire Trooper G8",0
"JD",1,0,88958,Troopers,"zVeers zzPiett Gideon G9, Dark Trooper G3, Range Trooper G9",0
"JD",,,59954,Mon Mothma,"Mon Mothma 6* G6, zCara Dune G8, Bodhi Rook G5, Cassian G6, Jyn G7",0
"JD",1,0,74612,Wiggs,"Wedge G3, Biggs G1, zzzCLS Han G9, Chewbacca",0
"JD",,,61312,Mando,"The Mandalorian (Beskar Armor) G7, Dash Rendar 4* G7, Nest G5, zIG-11 G8, Kuiil G9",0
"JD",1,0,70265,Jawas,"Nebit G8, Jawa Engineer G9, Jawa Scavenger G9, Jawa G6, Dathcha G9",0
"Rynoman2597",,,126823,Phasma,"zPhasma zFOTP FOSFTP zFOST zKylo",1
"Rynoman2597",1,1,158528,SL Kylo,"zzzzzzSL Kylo, zSith Trooper, zHux zzKRU zzThrawn",1
"Rynoman2597",,,156908,SEE,"zzzzzzSEE zBSF zzMalak zzzDR zzzVader",1
"Rynoman2597",1,0,147095,CLS,"zzzCLS zHan zzChewbacca zzC-3PO zChewpio",1
"Rynoman2597",0,1,126359,padme,"zzPadme zGK zJKA zAhsoka zBarriss",1
"Rynoman2597",,,434342,HansMF,"Home One, Han's MF, Rebel Y-wing, Bistan's U-wing, Phantom Biggs X-wing, Cassian's U-wing, Wedge X-wing",1
"Rynoman2597",,,456101,Negotiator,"Negotiator HT Anakin's Eta-2, Umbaran SF, Ahsoka's SF, Clone Sergeant's ARC-170, Plo's SF, Rex's ARC-170",1
"Rynoman2597",1,1,136115,JTR,"zzzJTR zzR2-D2 zzBB-8 zRH Finn, RH Poe G9",1
"Rynoman2597",0,1,92906,Geonosians,"zzGBA Sun Fac, Geo Soldier, Geo Spy, Poggle",1
"Rynoman2597",0,1,115090,Grievous,"zzGG zB2 zB1 zDroideka zMagnaGuard",1
"Rynoman2597",1,0,111962,Traya,"zzTraya zDN zSion zzEP Sith Empire Trooper",1
"Rynoman2597",1,0,110388,Troopers,"zVeers zzPiett zGideon zDark Trooper, Range Trooper",1
