Player,Offense,Defense,GP,Name,Squad,Viable
"ObiJuan Keithnobi",,,130580,Phasma,"zPhasma zFOTP FOE zzKRU zKylo",1
"ObiJuan Keithnobi",,,159328,SEE,"zzzzzzSEE zBSF zzMalak zzzDR zzzVader",1
"ObiJuan Keithnobi",0,1,145157,padme,"zzPadme zGK zJKA zAhsoka zzC-3PO",1
"ObiJuan Keithnobi",,,492923,Negotiator,"Negotiator HT Anakin's Eta-2, Umbaran SF, Ahsoka's SF, BTL-B Y-wing, Clone Sergeant's ARC-170, Plo's SF",1
"ObiJuan Keithnobi",1,1,105168,NS_Alt,"zzMT zzAV Spirit zDaka Talia",1
"ObiJuan Keithnobi",,,408298,HansMF,"Home One, Han's MF, Rebel Y-wing, Bistan's U-wing, Phantom Ghost Cassian's U-wing, Wedge X-wing",1
"ObiJuan Keithnobi",0,1,109734,Geonosians,"zzGBA Sun Fac, Geo Soldier, Geo Spy, Poggle",1
"ObiJuan Keithnobi",0,1,127263,Grievous,"zzGG zB2 zB1 zMagnaGuard zNute",1
"ObiJuan Keithnobi",1,0,145175,Traya,"zzTraya zzDN zSion zzEP zzThrawn",1
"ObiJuan Keithnobi",1,1,102127,JTR,"zzzJTR Scav Rey, BB-8 G9, zzR2-D2 RT G9",1
"ObiJuan Keithnobi",1,1,130734,Revan Offense,"zzzJKR zzGMY zBS zJolee zzHYoda",1
"ObiJuan Keithnobi",1,1,99269,Ewoks,"zChirpa Elder zPaploo zWicket zLogray",1
"ObiJuan Keithnobi",0,1,142375,BH,"zzBossk zzThe Mandalorian, zDengar zIG-88 zBoba",1
"ObiJuan Keithnobi",1,0,116501,ShaakClones,"zzShaak Ti, zRex zEcho (501st), zzFives Clone Sergeant",1
"ObiJuan Keithnobi",1,1,99441,Carth,"zCarth Onasi, zMission zZaalbar zJuhani zCanderous",1
"ObiJuan Keithnobi",0,1,94598,BH,"zzJango zGreedo Zam Greef Cad",1
"ObiJuan Keithnobi",1,0,132313,CLS,"zzzCLS Han zLeia zzOld Ben, zzChewbacca",1
"ObiJuan Keithnobi",0,1,86334,Phoenix,"zHera zZeb Kanan G8, Ezra G8, zSabine",1
"ObiJuan Keithnobi",1,0,124979,zMaul,"zDarth Maul, zDooku zSidious zSavage Sith Marauder",1
"ObiJuan Keithnobi",1,0,70779,Jawas,"Nebit G8, Jawa Engineer, Jawa Scavenger, Jawa Dathcha G9",1
"ObiJuan Keithnobi",,,67718,Admiral Raddus,"Admiral Raddus 3* G7, Cassian Jyn G8, K-2SO G9, Chirrut G8",0
"ObiJuan Keithnobi",1,0,86665,Troopers,"zVeers zzPiett Gideon 4* G7, Dark Trooper 5* G8, Range Trooper 6* G7",0
"ObiJuan Keithnobi",,,467131,Executrix,"Executrix Tie Adv, Emperor's Shuttle, TIE Reaper 3*, Imperial TIE Fighter, Gauntlet Starfighter, FOSF TIE Fighter, FO TIE Fighter",0
"ObiJuan Keithnobi",,,81207,Mon Mothma,"Mon Mothma 5* G8, Wedge Biggs Cara Dune, Lando",0
"ObiJuan Keithnobi",,,56481,Iden Troopers,"Iden Versio 3* G7, Stormtrooper G8, Snowtrooper G7, Magma G7, DT 6* G7",0
"ObiJuan Keithnobi",,,68455,Mando,"The Mandalorian (Beskar Armor) G8, Dash Rendar 4* G7, Nest 6* G9, zIG-11 Kuiil G9",0
"ObiJuan Keithnobi",,,54787,Bad Batch,"Hunter 5* G9, Echo 4* G8, Omega 5* G9, Tech 5* G8, Wrecker 6* G8",0
"Berzerk Hobo",1,1,163043,SL Kylo,"zzzzzzSL Kylo, zSith Trooper, zHux zzKRU zzThrawn",1
"Berzerk Hobo",1,1,164737,GL Rey,"zzzzzzRey zzzJTR zzR2-D2 zRH Poe, zRH Finn",1
"Berzerk Hobo",1,1,104394,NS,"zzMT zzAV zDaka Zombie Spirit",1
"Berzerk Hobo",,,176107,JMLS,"zzzJKR zzJKL zzzzzzJMLS zWat Tambor, zzzzGAS",1
"Berzerk Hobo",1,0,140975,CLS,"zzzCLS zHan zChewbacca zzC-3PO zChewpio",1
"Berzerk Hobo",0,1,122940,DRMalak,"zzzDR zzHK-47 zBSF zzMalak Sith Empire Trooper",1
"Berzerk Hobo",0,1,115973,padme,"zzPadme zGK zJKA zAhsoka CW Chewbacca G8",1
"Berzerk Hobo",,,437300,HansMF,"Home One, Han's MF, Rebel Y-wing, Bistan's U-wing, Phantom Biggs X-wing, Cassian's U-wing, Wedge X-wing",1
"Berzerk Hobo",,,498872,Negotiator,"Negotiator HT Anakin's Eta-2, Umbaran SF, Ahsoka's SF, Clone Sergeant's ARC-170, Plo's SF, Rex's ARC-170",1
"Berzerk Hobo",0,1,98422,Geonosians,"zzGBA Sun Fac, Geo Soldier, Geo Spy, Poggle",1
"Berzerk Hobo",0,1,116138,Grievous,"zzGG zB2 zB1 zMagnaGuard zNute",1
"Berzerk Hobo",1,0,123886,Traya,"zzTraya zzDN zSion zDooku zzEP",1
"Berzerk Hobo",,,107574,Mon Mothma,"zzMon Mothma, Wedge Hoth Rebel Scout, zCara Dune, zPao",1
"Berzerk Hobo",1,0,100903,Troopers,"zVeers zzPiett zzGideon zDark Trooper, Range Trooper",1
"Berzerk Hobo",,,136195,Disintegration,"zzAurra zzGreef zBoba zzBossk zzThe Mandalorian",1
"Berzerk Hobo",1,1,89204,Ewoks,"zChirpa Elder Paploo Wicket Logray",1
"Berzerk Hobo",1,0,138723,ShaakClones,"zzShaak Ti, zRex zEcho (501st), zzFives zARC Trooper",1
"Berzerk Hobo",1,1,96484,Carth,"zCarth Onasi, zMission zZaalbar Juhani zCanderous",1
"Berzerk Hobo",0,1,123063,BH,"zzJango zFennec Shand, zDengar zGreedo zEmbo",1
"Berzerk Hobo",0,1,88101,Phoenix,"Hera Zeb Kanan zEzra Sabine",1
"Berzerk Hobo",1,1,85566,Rogue1,"Jyn Chirrut Baze K-2SO Cassian",1
"Berzerk Hobo",0,1,138722,BS,"zBS zzGMY zJolee zOld Ben, zzHYoda",1
"Berzerk Hobo",1,0,81223,Jawas,"Nebit Jawa Engineer, Jawa Scavenger, Jawa Dathcha",1
"Berzerk Hobo",1,0,20430,NestSolo (Counter),"zNest",1
"Berzerk Hobo",,,125687,Phasma,"Phasma zFOTP FOSFTP zFOST zKylo",0
"Berzerk Hobo",,,262687,Malevolence,"Malevolence 5* Hyena Bomber 5*, Vulture Droid 4*, Sun Fac SF, Soldier SF, Spy SF",0
"Berzerk Hobo",,,462849,Executrix,"Executrix Tie Adv, Emperor's Shuttle 6*, TIE Reaper 6*, Imperial TIE Fighter, Gauntlet Starfighter, FOSF TIE Fighter, FO TIE Fighter",0
"Berzerk Hobo",,,77915,Iden Troopers,"zIden Versio 5*, Shoretrooper Snowtrooper Magma G8, DT",0
"Berzerk Hobo",,,83368,Bad Batch,"zHunter G9, Echo G9, zzOmega G9, Tech G9, zWrecker G8",0
"Salacious Thumb",,,120073,Phasma,"zPhasma FOTP FOSFTP zFOST zKylo",1
"Salacious Thumb",1,1,146303,SL Kylo,"zzzzzzSL Kylo, zSith Trooper, zHux zzKRU Thrawn G9",1
"Salacious Thumb",,,163799,JMLS,"zzzJKR zzJKL zzzzzzJMLS zWat Tambor, zzzzGAS",1
"Salacious Thumb",1,0,149307,CLS,"zzzCLS zHan zzChewbacca zzC-3PO zChewpio",1
"Salacious Thumb",0,1,116619,DRMalak,"zzzDR zHK-47 zBSF zzMalak Sith Empire Trooper",1
"Salacious Thumb",,,389506,HansMF,"Home One, Han's MF, Rebel Y-wing 6*, Bistan's U-wing, Phantom Biggs X-wing, Cassian's U-wing, Wedge X-wing",1
"Salacious Thumb",,,492983,Negotiator,"Negotiator HT Anakin's Eta-2, Umbaran SF, Ahsoka's SF, Clone Sergeant's ARC-170, Plo's SF, Rex's ARC-170",1
"Salacious Thumb",0,1,120186,Grievous,"zzGG zB2 zB1 zDroideka zMagnaGuard",1
"Salacious Thumb",1,1,113927,JTR,"zzzJTR Scav Rey, BB-8 zzR2-D2 Finn G8",1
"Salacious Thumb",1,1,89242,Ewoks,"zChirpa Elder Paploo zWicket Logray",1
"Salacious Thumb",1,0,135006,ShaakClones,"zzShaak Ti, zRex zEcho (501st), zzFives zARC Trooper",1
"Salacious Thumb",0,1,138839,BH,"zzBossk zThe Mandalorian, zDengar zIG-88 zBoba",1
"Salacious Thumb",1,1,94716,Carth,"zCarth Onasi, zMission zZaalbar zJuhani Canderous",1
"Salacious Thumb",1,1,132660,zEP,"zzEP zzzVader Tarkin TFP zzMara Jade, The Emperor's Hand",1
"Salacious Thumb",0,1,81221,Phoenix,"Hera Zeb Kanan zEzra Sabine G8",1
"Salacious Thumb",0,1,120222,BS,"zBS zGMY zJolee zGK zHYoda",1
"Salacious Thumb",1,0,19824,NestSolo (Counter),"zNest",1
"Salacious Thumb",,,260955,Malevolence,"Malevolence 6* Hyena Bomber 5*, Vulture Droid 5*, Sun Fac SF, Soldier SF, Spy SF",0
"Salacious Thumb",1,1,86104,NS,"zMT G9, zAV Daka Zombie Spirit G8",0
