Player,Offense,Defense,GP,Name,Squad,Viable
"Seve",0,1,137365,Nute-Sep,"zNute zJango zNest zDooku zDroideka",1
"Seve",,,174497,JMK,"zzzzzzJMK zAhsoka zzzCAT zzzzGAS zGK",1
"Seve",,,168789,LV,"zzzzzzLord Vader, Piett zzzVader zRG zNinth Sister",1
"Seve",,,118290,Phasma,"zPhasma FOTP FOSFTP FOST zKylo",1
"Seve",0,1,138755,DRMalak,"zzzDR zzHK-47 zBSF zzMalak Sith Empire Trooper",1
"Seve",1,1,149057,JTR,"zzzJTR Scav Rey, zzBB-8 zzR2-D2 Finn",1
"Seve",,,546825,Executor,"Executor 6* HT RC Xanadu Blood, Slave I, IG-2000 Imperial TIE Fighter, Tie Adv",1
"Seve",1,1,112289,NS_Alt,"zzMT zzAV Spirit Zombie zDaka",1
"Seve",,,516555,Negotiator,"Negotiator BTL-B Y-wing, Anakin's Eta-2, Rex's ARC-170, Umbaran SF, Ahsoka's SF, Plo's SF, Clone Sergeant's ARC-170",1
"Seve",,,311997,Malevolence,"Malevolence Hyena Bomber, Vulture Droid, Sun Fac SF, Soldier SF, Spy SF",1
"Seve",,,139434,JKL,"zzJKL zzzJKR zHYoda zOld Ben, Aayla",1
"Seve",,,478783,HansMF,"Home One, Han's MF, Rebel Y-wing, Bistan's U-wing, Phantom Ghost Cassian's U-wing, Wedge X-wing",1
"Seve",0,1,101336,Geonosians,"zzGBA Sun Fac, Geo Soldier, Geo Spy, Poggle",1
"Seve",0,1,138809,Grievous-Wat,"zzGG zB2 zB1 zMagnaGuard zWat Tambor",1
"Seve",1,0,127719,Traya,"zzTraya zDN zSion zzEP zThrawn",1
"Seve",,,117470,Disintegration,"Aurra Greef Boba zBossk zThe Mandalorian",1
"Seve",0,1,158658,padme-gr,"zzPadme zC-3PO zzShaak Ti, zzzMace zGMY",1
"Seve",,,112191,Mon Mothma,"zzMon Mothma, Chirrut Biggs Bistan Wedge",1
"Seve",1,1,86923,Ewoks,"zChirpa Elder Paploo Wicket zLogray",1
"Seve",1,1,93223,Carth,"zCarth Onasi, zMission zZaalbar Juhani Canderous",1
"Seve",1,0,143559,Clones,"Cody zRex zEcho (501st), zzFives zARC Trooper",1
"Seve",1,0,97864,Troopers,"zVeers Starck Snowtrooper Shoretrooper DT",1
"Seve",0,1,88896,Phoenix,"Hera Sabine Ezra Kanan Zeb",1
"Seve",,,114699,Bad Batch,"Hunter Echo Omega Tech zWrecker",1
"Seve",1,0,140076,CLS,"zzCLS zHan zzChewbacca zChewpio Leia",0
"Seve",1,0,72861,Jawas,"Nebit G7, Jawa Engineer G9, Jawa Scavenger G8, Jawa Dathcha G8",0
"Ponda Baba",0,1,122055,Nute-Sep,"zNute zJango zNest zDooku zDroideka",1
"Ponda Baba",,,170943,JMK,"zzzzzzJMK zJKA zGMY zzShaak Ti, zGK",1
"Ponda Baba",,,123280,Phasma,"zPhasma zFOTP FOSFTP zFOST zKylo",1
"Ponda Baba",0,1,120055,DRMalak,"zzzDR zHK-47 zBSF zzMalak Sith Empire Trooper",1
"Ponda Baba",1,1,117258,JTR,"zzJTR Scav Rey, zzBB-8 zzR2-D2 RT",1
"Ponda Baba",,,146890,SK,"zzEP zzMara Jade, The Emperor's Hand, zzStarkiller zzOld Ben, zVisas",1
"Ponda Baba",0,1,99528,Qira,"zQira zL3-37 zVandor Chewbacca, zMission zZaalbar",1
"Ponda Baba",,,582913,Executor,"Executor HT RC Xanadu Blood, Slave I, IG-2000 Imperial TIE Fighter, Tie Adv",1
"Ponda Baba",1,0,134966,CLS,"zzzCLS zHan zzChewbacca zChewpio Leia",1
"Ponda Baba",,,506782,Negotiator,"Negotiator BTL-B Y-wing, Anakin's Eta-2, Rex's ARC-170, Umbaran SF, Ahsoka's SF, Plo's SF, Clone Sergeant's ARC-170",1
"Ponda Baba",,,310388,Malevolence,"Malevolence Hyena Bomber, Vulture Droid, Sun Fac SF, Soldier SF, Spy SF",1
"Ponda Baba",,,482315,HansMF,"Home One, Han's MF, Rebel Y-wing, Bistan's U-wing, Phantom Ghost Cassian's U-wing, Wedge X-wing",1
"Ponda Baba",0,1,98176,Geonosians,"zzGBA Sun Fac, Geo Soldier, Geo Spy, Poggle",1
"Ponda Baba",0,1,132266,Grievous-Wat,"zzGG zB2 zB1 MagnaGuard zWat Tambor",1
"Ponda Baba",1,0,111109,Traya,"zzTraya zDN zSion Sith Assassin G8, zThrawn",1
"Ponda Baba",,,100997,Mon Mothma,"zzMon Mothma, zCara Dune, Hoth Rebel Scout, zPao Scarif",1
