Name,Ally Code,GP,Chars GP,Ships GP,Character:Ships,Light side or Dark Side,Hotutils style mod score -- higher is better, aim for 3.0.   ((# of 15-19 Speed 0.8) + (# of 20-24 Speed) + (# of 25+ Speed * 1.6)) / (squadGP / 100,000),DSR Bot style gear score -- higher is better.  Number of (>G12 + G13 + relic / 5) / total gp / 100 000.,LS Toon GP,DS Toon GP,Zetas,Omicrons,Relic Levels,GLs,7*,R5 and higher,G13 and higher,G12 and higher,G10 and higher,Jedi Knight Revan,Darth Revan,Malak,Padme,Genosian Brood Alpha,Wat Tambor,Ki-Adi-Mundi,Shaak Ti,General Skywalker,Rey,Supreme Leader Kylo Ren,Sith Eternal Emperor,Jedi Master Luke Skywalker,Jedi Master Kenobi,Lord Vader,Jabba the Hutt,Jedi Knight Luke,The Negotiator,Malevolence,Raddus,Finalizer,TW/GA Squads - farmed but may need gear.  Click player name to view.,Squads: defense or both,Squads: offense or both
"Rhevis",126515217,7199877,4336605,2863272,151,6,163,457,2337475,1998454,156,3,396,3,249,50,106,144,166,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,1,1,1,1,1,21,6,9
"PChan",639899497,8808363,5159972,3648391,141,-13,467,537,2754979,2403979,161,4,726,7,283,98,144,184,201,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,26,9,10
"anOOrmaly",232971818,9106832,5251687,3855145,136,-3,370,489,2817472,2432694,215,4,705,6,284,97,134,171,183,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,27,9,13
"Xile",788888212,8206607,4823698,3382909,142,-37,395,499,2544318,2272824,132,3,654,4,275,97,120,159,177,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,1,1,1,1,21,6,7
"BA",285453629,10105866,6004351,4101515,146,-53,565,547,3140487,2852611,226,10,1002,6,280,147,165,188,221,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,28,8,10
"Seve",733846924,8958778,5270034,3688744,142,-52,377,505,2760256,2503490,161,3,751,6,288,109,137,166,187,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,23,7,8
"Savage",297519872,9267252,5471641,3795611,144,-49,255,472,2862436,2588864,219,7,719,5,295,99,133,161,182,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,26,9,11
"CoffeeNCigarettes",343399131,10143157,6126403,4016754,152,-3,298,594,3272206,2825420,229,4,995,7,291,128,190,214,229,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,30,8,11
"Algandar",258979998,7848682,4605948,3242734,142,-111,191,471,2347789,2257483,187,3,570,5,283,77,113,143,154,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,24,8,10
"MilHouse",245782881,9493860,5749627,3744233,153,-56,522,540,2993537,2727448,223,6,851,7,281,130,155,188,206,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,27,8,11
"Hootkins",193479255,9779521,5842524,3936997,148,-25,165,510,3086475,2725889,231,6,785,6,298,112,148,194,220,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,28,9,13
"Donkey Kong",276523743,8451534,4998470,3453064,144,24,203,433,2705921,2272256,208,7,467,4,282,59,119,154,173,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,23,9,11
"Mtb",632271723,11957053,7390574,4566479,161,21,962,679,3993375,3364624,283,16,1661,7,302,239,239,241,244,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,29,8,11
"schembri",852538859,8537573,5016128,3521445,142,61,264,462,2770199,2241039,190,6,660,6,269,96,118,145,162,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,22,8,9
"Stanleyclimbfall",349879784,9260640,5424242,3836398,141,3,379,485,2906891,2493893,230,7,712,6,290,93,139,168,195,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,26,10,10
"Archie D2",716192825,8790187,5208596,3581591,145,76,163,461,2897090,2308271,213,5,602,5,281,85,125,160,194,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,25,10,11
"Pokey",839995558,9211604,5430782,3780822,143,-57,270,470,2829848,2580072,219,6,718,5,295,100,132,158,180,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,24,9,11
"TobiwanKenobi",696297162,8880703,5314054,3566649,148,-82,459,505,2746212,2567166,218,5,749,7,276,108,137,162,182,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,24,9,12
"Ping",669828157,10278082,6185737,4092345,151,-56,532,581,3219572,2933717,252,7,1026,7,299,163,180,212,229,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,28,8,10
"CaptainCoom",791749373,8886970,5327919,3559051,149,47,265,496,2914805,2390655,222,8,692,6,271,100,138,165,189,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,23,8,9
"IL",383349685,7691306,4162202,3529104,117,155,564,493,2398370,1763832,163,5,622,4,234,87,113,142,152,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,1,20,8,7
"darkside",171697539,9046963,5479751,3567212,153,-72,511,492,2837202,2626828,208,8,748,5,274,113,135,161,187,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,25,10,11
