Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,Team
Latch,277395581,29,0,29,EP: EP Mara Jade, The Emperor's Hand G8 4* Vader Thrawn G9 RG G8
Latch,277395581,40,0,40,CLS: CLS C-3PO G8 6* Han G11 Chewbacca G8 Chewpio G5
Jordan Halaren,474449928,0,0,0,CLS: CLS C-3PO Han Chewbacca Chewpio
Schmidt Happens,241187192,31,0,31,EP: EP R2 Mara Jade, The Emperor's Hand G11 Vader G12 Thrawn G9 Malak G12
ridingred,273374852,28,0,28,EP: EP Mara Jade, The Emperor's Hand G6 4* Vader Thrawn G8 Malak G12
Nema Ghyron,226226244,12,0,12,EP: EP R3 Mara Jade, The Emperor's Hand R3 Vader Thrawn G12 Malak R3
Nema Ghyron,226226244,46,0,46,Troopers: Veers G9 Piett G8 5* Dark Trooper G7 5* Range Trooper G11 5* Gideon G9
Whale,872143324,0,0,0,CLS: CLS C-3PO Han Chewbacca Chewpio
Whale,872143324,44,0,44,EP: EP Mara Jade, The Emperor's Hand G5 6* Vader R2 Thrawn G7 Shoretrooper G1
Chris Anderson 05051982,165559824,17,0,17,EP: EP Mara Jade, The Emperor's Hand Vader Thrawn G12 RG G7
asguardian,771325987,21,0,21,EP: EP R4 Mara Jade, The Emperor's Hand Vader Thrawn G8 6* Malak G8 6*
Dark One,353788573,38,0,38,CLS: CLS G12 C-3PO G12 Han G12 Chewbacca G8 6* Chewpio G8 3*
Styckeey Battle,663976847,26,0,26,EP: EP Mara Jade, The Emperor's Hand G9 5* Vader Thrawn G7 6* Malak G12
Styckeey Battle,663976847,47,0,47,CLS: CLS G8 C-3PO G9 Han G9 Chewbacca G9 Chewpio G8 4*
Ronju Terds,464722161,6,0,6,CLS: CLS C-3PO Han Chewbacca Chewpio G12
MINI Eastgamer11,787729542,26,0,26,EP: EP Mara Jade, The Emperor's Hand G11 3* Vader Thrawn G9 5* RG G8
MINI Eastgamer11,787729542,29,0,29,Troopers: Veers G11 Piett Dark Trooper G11 Range Trooper G12 Gideon G9
Mikki and her Ry Ry,846428398,24,0,24,EP: EP G11 Mara Jade, The Emperor's Hand R4 Vader R2 Thrawn G7 6* Malak R3
Tyundi,697663926,30,0,30,CLS: CLS G12 C-3PO G12 Han G12 Chewbacca G12 Chewpio G12
Tyundi,697663926,36,0,36,EP: EP G12 Mara Jade, The Emperor's Hand G12 Vader G12 Thrawn G12 RG G6
HDS15,857258731,24,0,24,EP: EP Mara Jade, The Emperor's Hand G7 4* Vader Thrawn G12 RG G11
HDS15,857258731,50,0,50,Padme/BB: Padme G12 Hunter G7 4* Echo G7 3* Tech G8 4* Wrecker G6 4*
凯 天行者,198397314,33,0,33,CLS: CLS R3 C-3PO R3 Han G8 Chewbacca G10 Chewpio G7
Gorkken,883535461,31,0,31,EP: EP R2 Mara Jade, The Emperor's Hand G11 Vader Thrawn G8 RG G7
Djsenior,463522689,7,0,7,CLS: CLS C-3PO Han Chewbacca Chewpio G11 5*
SharpChaos,947247942,22,0,22,CLS: CLS R3 C-3PO R3 Han G12 Chewbacca R3 Chewpio G8 5*
Puke Clodhopper,138652831,0,0,0,CLS: CLS C-3PO Han Chewbacca Chewpio
Puke Clodhopper,138652831,6,0,6,JMLS: JMLS JKL JKR GMY G12 HYoda
Puke Clodhopper,138652831,19,0,19,EP: EP G12 Mara Jade, The Emperor's Hand G11 Vader Thrawn G12 Malak
DarthKrillin,143828918,16,0,16,EP: EP R4 Mara Jade, The Emperor's Hand G12 Vader Thrawn G12 Malak R2
Animus313,848892482,21,0,21,EP: EP R2 Mara Jade, The Emperor's Hand R2 Vader R4 Thrawn G7 RG R2
RBS,572837322,24,0,24,EP: EP R2 Mara Jade, The Emperor's Hand Vader R3 Thrawn G9 RG G8
RBS,572837322,36,0,36,CLS: CLS R3 C-3PO G12 Han G8 Chewbacca G10 Chewpio G8
Nick Steele,279647222,33,0,33,CLS: CLS G12 C-3PO R1 Han G10 Chewbacca G10 Chewpio G11
Nick Steele,279647222,42,0,42,EP: EP G9 Mara Jade, The Emperor's Hand G9 Vader G9 Thrawn G9 Malak G12
Gomer332,964343273,13,0,13,EP: EP Mara Jade, The Emperor's Hand G8 6* Vader Thrawn R4 RG R3
BUSTYOAZZ99,215377213,22,0,22,CLS: CLS C-3PO Han G12 Chewbacca G12 Chewpio G8 5*
