Player,Offense,Defense,GP,Name,Squad,Viable
"Trav",0,1,136647,padme,"zzPadme zGK zJKA zAhsoka zzC-3PO",1
"Trav",1,0,117334,CLS,"zzzCLS zHan zzChewbacca R2-D2 zChewpio",1
"Trav",1,1,91778,Ewoks,"zChirpa Elder Paploo Wicket zLogray",1
"Trav",1,0,148433,ShaakClones,"zzShaak Ti, zRex zEcho (501st), zzFives zARC Trooper",1
"Trav",0,1,100544,BH,"zzBossk Greef zZam Jango Boba",1
"Trav",1,1,119795,zEP,"zzEP zzzVader Tarkin TFP G8, zzMara Jade, The Emperor's Hand",1
"Trav",0,1,79157,Phoenix,"Hera Ezra Chopper Kanan Zeb G8",1
"Trav",0,1,109696,BS,"zBS zzGMY Aayla G8, Old Ben, zzHYoda",1
"Trav",1,0,83798,Jawas,"Nebit Jawa Engineer, Jawa Scavenger, Jawa Dathcha",1
"Trav",,,45585,Phasma,"Phasma G8, FOTP 6* G8, FOSFTP 6* G7, FOST 5* G8, Kylo G8",0
"Trav",,,83569,Grievous Omicron,"GG G9, B2 zB1 MagnaGuard Droideka",0
"Trav",0,1,94580,Geonosians Omicron,"zzGBA Sun Fac, Geo Soldier, Geo Spy, Poggle",0
"Trav",,,318410,HansMF,"Home One, Han's MF 5*, Rebel Y-wing 4*, Bistan's U-wing 4*, Phantom Ghost Cassian's U-wing, Wedge X-wing",0
"Trav",1,1,72289,NS,"MT G8, zzAV Daka G9, Zombie G8, Spirit G8",0
"Trav",1,0,80390,Traya,"Traya DN Sion 5* G9, Dooku G9, zThrawn",0
"Trav",,,62527,Iden Troopers,"Iden Versio 5*, Stormtrooper G8, Snowtrooper Magma G8, DT G8",0
"Trav",1,1,62629,Rogue1,"Jyn G8, Chirrut G8, Baze 5* G8, Cassian G9, K-2SO G8",0
"Untamed Sloth",1,0,124205,CLS,"zzzCLS zHan zzChewbacca zzC-3PO zChewpio",1
"Untamed Sloth",0,1,109865,DR,"zzzDR zzHK-47 zBSF Sith Empire Trooper, Sith Assassin",1
"Untamed Sloth",1,1,99020,Revan,"zzzJKR BS GMY G9, zJolee zGK",1
"Untamed Sloth",1,1,95086,Ewoks,"zChirpa Elder zPaploo zWicket Logray",1
"Untamed Sloth",1,0,105625,ShaakClones,"zzShaak Ti, zRex zEcho (501st), zzFives zARC Trooper",1
"Untamed Sloth",0,1,97960,BH,"zzBossk Greef Dengar Jango Boba",1
"Untamed Sloth",1,1,105885,zEP,"zzEP zzVader Tarkin TFP zzMara Jade, The Emperor's Hand",1
"Untamed Sloth",0,1,107002,FO,"zzKRU zKylo zHux FOO G9, zFOST",1
"Untamed Sloth",0,1,71608,Phoenix,"Hera zEzra Sabine G9, Kanan G9, Zeb G8",1
"Untamed Sloth",0,1,93558,Geonosians Omicron,"zzGBA Sun Fac, Geo Soldier, Geo Spy, Poggle",0
"Untamed Sloth",,,55414,Grievous Omicron,"GG G7, B2 G7, B1 G7, MagnaGuard G7, Droideka G7",0
