Player,Offense,Defense,GP,Name,Squad,Viable
"zohaib24",,,163053,SEE,"zzzzzzSEE zBSF zzMalak zzzDR zzVader",1
"zohaib24",,,279092,Malevolence,"Malevolence Hyena Bomber, Vulture Droid, Sun Fac SF, Soldier SF, Spy SF",1
"zohaib24",0,1,105057,Grievous,"zzGG zB2 zB1 MagnaGuard zNute",1
"zohaib24",1,0,115381,Troopers,"zVeers zPiett Gideon Dark Trooper, Range Trooper",1
"zohaib24",1,1,118510,Revan,"zzzJKR BS GMY zJolee zGK",1
"zohaib24",1,0,86028,ShaakClones,"zShaak Ti G9, Rex Echo (501st), zFives ARC Trooper",1
"zohaib24",0,1,130362,BH,"zzBossk Dengar Boba Jango IG-88",1
"zohaib24",0,1,67650,Phoenix,"Hera G8, Ezra Zeb G8, Chopper G9, Kanan G8",1
"zohaib24",1,0,99497,Thragma (Counter),"Thrawn Magma Krennic Tarkin Stormtrooper",1
"zohaib24",,,345902,Negotiator,"Negotiator 5* HT Anakin's Eta-2, Umbaran SF, Ahsoka's SF, BTL-B Y-wing 3*, Clone Sergeant's ARC-170 5*, Plo's SF 6*",0
"zohaib24",1,0,99162,CLS,"zzCLS zHan zChewbacca zC-3PO 5* Chewpio",0
"zohaib24",0,1,88468,Geonosians Omicron,"zGBA Sun Fac, Geo Soldier, Geo Spy, Poggle",0
"zohaib24",1,1,82627,Carth,"zCarth Onasi, zMission zZaalbar Juhani G7, Canderous",0
"zohaib24",1,1,71166,Ewoks,"zChirpa 6* G8, Elder Paploo Teebo G7, Logray G9",0
"zohaib24",1,0,111564,zMaul,"Darth Maul, zSidious zDooku Sith Marauder, Nest G3",0
"zohaib24",0,1,65057,FO,"KRU G9, Kylo G9, FOSFTP G9, FOO G8, Phasma G7",0
"llandro",,,122697,Phasma,"zPhasma zFOTP FOSFTP zFOST zKylo",1
"llandro",1,1,163602,SL Kylo,"zzzzzzSL Kylo, zSith Trooper, zHux zzKRU zThrawn",1
"llandro",,,564453,Executor,"Executor HT RC Xanadu Blood, Slave I, IG-2000 Imperial TIE Fighter, Tie Adv",1
"llandro",1,0,140138,CLS,"zzzCLS zHan zChewbacca zC-3PO zChewpio",1
