Player,Offense,Defense,GP,Name,Squad,Viable
"Gunner",,,108792,Phasma,"zPhasma zFOTP FOE zzKRU zKylo",1
"Gunner",,,176987,SEE,"zzzzzzSEE zBSF zzMalak zzzDR zzzVader",1
"Gunner",0,1,140773,padme,"zzPadme zGK zJKA zAhsoka zzC-3PO",1
"Gunner",1,1,106645,NestSisters,"zzAV zzMT zDaka Zombie zNest",1
"Gunner",,,402025,HansMF,"Home One, Han's MF, Rebel Y-wing 6*, Bistan's U-wing, Phantom Ghost Cassian's U-wing, Wedge X-wing",1
"Gunner",,,477558,Negotiator,"Negotiator HT Anakin's Eta-2, Umbaran SF, Ahsoka's SF, Clone Sergeant's ARC-170, Plo's SF, Rex's ARC-170",1
"Gunner",0,1,121196,Grievous,"zzGG zB2 zB1 zMagnaGuard zNute",1
"Gunner",1,0,111712,Traya,"zzTraya zzDN zSion Sith Empire Trooper, zzThrawn",1
"Gunner",1,1,111885,JTR,"zzzJTR zScav Rey, zBB-8 G9, zzR2-D2 zFinn",1
"Gunner",,,122233,Disintegration,"Aurra zzGreef zBoba zzBossk zzThe Mandalorian",1
"Gunner",1,1,116169,GAS,"zzzzGAS zRex zEcho (501st), zzFives zARC Trooper",1
"Gunner",1,1,126884,Revan Offense,"zzzJKR zzGMY zBS zJolee zzHYoda",1
"Gunner",1,1,97636,Ewoks,"zChirpa Elder zPaploo zWicket zLogray",1
"Gunner",1,1,102640,Carth,"zCarth Onasi, zMission zZaalbar zJuhani zCanderous",1
"Gunner",0,1,116732,BH,"zzJango zDengar zGreedo zzEmbo zZam",1
"Gunner",1,0,119675,Troopers,"zVeers zStarck zzGideon zStormtrooper zzPiett",1
"Gunner",1,0,120289,CLS,"zzzCLS zHan zLeia zzOld Ben, zzChewbacca",1
"Gunner",0,1,75979,Phoenix,"Hera G9, Sabine Kanan Ezra G8, Zeb",1
"Gunner",1,0,118700,zMaul,"zDarth Maul, zDooku zSidious Sith Assassin, zSavage",1
"Gunner",1,1,94562,Rogue1,"zzJyn Chirrut Baze G9, zCassian zK-2SO",1
"Gunner",1,0,113515,EP (Counter, Rebel),"zzEP Shoretrooper G8, zKrennic DT G9, zzWampa",1
"Gunner",1,0,70488,Jawas,"Nebit G8, Jawa Engineer G9, Jawa Scavenger G9, Jawa G9, Dathcha G9",1
"Gunner",,,277209,Malevolence,"Malevolence Hyena Bomber 5*, Vulture Droid 3*, Sun Fac SF, Soldier SF, Spy SF",0
"Gunner",0,1,96030,Geonosians Omicron,"zzGBA Sun Fac, Geo Soldier, Geo Spy, Poggle",0
"Gunner",,,465320,Executrix,"Executrix Tie Adv, Emperor's Shuttle, TIE Reaper 4*, Imperial TIE Fighter, Gauntlet Starfighter, FOSF TIE Fighter, FO TIE Fighter",0
"Gunner",,,79907,Mon Mothma,"Mon Mothma 6* G9, Lando Wedge zBodhi Rook, Biggs",0
"Gunner",,,56814,Bad Batch,"Hunter 5* G8, Echo 6* Omega 6* G9, Tech 5* G8, Wrecker 5* G8",0
"Manhofung",,,179113,SEE,"zzzzzzSEE zBSF zzMalak zzzDR zzzVader",1
"Manhofung",1,1,171716,GL Rey,"zzzzzzRey zzzJTR zzBB-8 zRH Poe, zRH Finn",1
"Manhofung",1,1,118485,NS,"zzMT zzAV zDaka Zombie Spirit",1
"Manhofung",0,1,153720,padme,"zzPadme zGK zJKA zAhsoka zzzCAT",1
"Manhofung",,,184254,JMLS,"zzzJKR zzJKL zzzzzzJMLS zWat Tambor, zzzzGAS",1
"Manhofung",1,0,147773,CLS,"zzzCLS zHan zzChewbacca zzC-3PO zChewpio",1
"Manhofung",,,136891,Grievous Omicron,"zzGG zB2 zB1 zMagnaGuard zDroideka",1
